gene_name	823-RNA_L8	824-RNA_L8	825-RNA_L8	826-RNA_L8	828-RNA_L8	829-RNA_L8	830-RNA_L8	831-RNA_L8	832-RNA_L8	835-RNA_L8	836-RNA_L8	839-RNA_L8	840-RNA_L8	841-RNA_L8	847-RNA_L8
ENSMUSG00000083946.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083947.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083948.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083949.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000083950.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083951.1	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	
ENSMUSG00000083953.1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	2	
ENSMUSG00000083954.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083955.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083956.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083957.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083958.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083960.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083961.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083962.1	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	
ENSMUSG00000083963.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083964.1	5	3	12	3	1	1	6	2	2	6	0	2	4	2	0	
ENSMUSG00000083966.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083967.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083970.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083971.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000083972.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083973.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000083974.1	0	1	0	0	0	0	0	3	0	0	2	0	1	0	1	
ENSMUSG00000083975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083977.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083979.1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
ENSMUSG00000083981.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083982.1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
ENSMUSG00000083983.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083985.3	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	
ENSMUSG00000083986.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083987.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083988.1	1	1	1	0	2	0	4	1	3	0	1	0	0	0	0	
ENSMUSG00000083989.2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000083990.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083991.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083992.1	139	80	165	210	113	77	216	102	121	92	304	135	126	92	172	
ENSMUSG00000083993.1	0	1	2	2	3	2	1	2	0	6	1	4	4	2	1	
ENSMUSG00000083994.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083995.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000083996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083997.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083998.1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000083999.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084000.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084004.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084007.3	3	4	7	1	2	2	1	6	1	1	0	8	6	2	7	
ENSMUSG00000084009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084010.1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000084011.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084012.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084013.1	5	4	2	6	12	0	0	6	3	8	4	2	9	4	7	
ENSMUSG00000084014.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084017.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084018.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084019.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084020.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084021.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000084022.1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	
ENSMUSG00000084024.1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084025.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084026.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084027.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084028.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084030.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084031.1	3	0	6	4	0	3	1	4	0	2	2	1	0	1	3	
ENSMUSG00000084032.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084033.3	0	0	0	0	0	1	0	1	0	2	2	1	2	1	0	
ENSMUSG00000084034.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084038.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084039.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084041.1	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	
ENSMUSG00000084043.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084044.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084045.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084046.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084047.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000084048.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084050.3	4	1	0	0	4	1	0	0	0	1	2	0	0	0	3	
ENSMUSG00000084052.1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000084053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084054.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084055.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084056.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084057.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084058.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084059.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084060.3	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	
ENSMUSG00000084061.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084063.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084065.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000084066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084067.3	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	
ENSMUSG00000084068.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084069.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084071.1	1	0	0	0	0	0	0	0	1	2	0	0	0	2	0	
ENSMUSG00000084072.1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084073.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084076.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084077.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084078.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084079.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000084080.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084081.3	0	0	4	1	0	0	0	1	0	0	0	0	0	1	1	
ENSMUSG00000084082.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084083.1	1	0	1	2	1	0	1	0	0	0	0	0	0	1	0	
ENSMUSG00000084085.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084086.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084087.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000084088.1	1	0	3	0	0	0	0	0	1	0	1	0	0	0	2	
ENSMUSG00000084089.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084090.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084092.1	42	20	12	13	59	243	12	24	20	4	8	8	0	6	6	
ENSMUSG00000084093.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084094.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
ENSMUSG00000084095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084096.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000084097.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084098.1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	
ENSMUSG00000084099.1	1	0	0	1	0	1	2	0	0	1	0	2	3	3	3	
ENSMUSG00000084101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084102.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084103.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084104.1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	
ENSMUSG00000084105.1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	
ENSMUSG00000084106.4	75	30	80	68	31	19	91	30	68	29	55	32	50	39	73	
ENSMUSG00000084107.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084108.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084110.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084111.4	212	89	300	221	71	118	268	117	269	102	132	75	124	107	137	
ENSMUSG00000084112.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084113.1	1	0	0	1	1	0	0	0	0	1	2	1	1	1	1	
ENSMUSG00000084114.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084115.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
ENSMUSG00000084116.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ENSMUSG00000084117.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084118.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084119.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084120.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084123.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084124.1	0	0	0	4	0	0	0	0	0	0	0	2	1	0	1	
ENSMUSG00000084125.1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000084126.1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000084127.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000084128.10	1504	616	2152	839	2009	902	1782	1030	1495	2064	2089	1268	1824	2024	1753	
ENSMUSG00000084129.1	14	4	8	10	6	2	6	9	12	8	14	2	8	9	16	
ENSMUSG00000084130.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084131.1	90	35	92	49	46	16	86	15	66	39	79	40	54	46	47	
ENSMUSG00000084132.2	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	
ENSMUSG00000084133.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
ENSMUSG00000084134.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084135.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084136.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084137.1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	
ENSMUSG00000084138.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084139.1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	2	
ENSMUSG00000084140.1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	
ENSMUSG00000084142.1	0	0	2	0	2	0	0	0	1	0	0	2	0	0	0	
ENSMUSG00000084143.1	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	
ENSMUSG00000084144.1	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	
ENSMUSG00000084145.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
ENSMUSG00000084146.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084147.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084148.1	1	2	7	1	1	1	6	7	2	1	5	1	3	0	1	
ENSMUSG00000084149.1	1	0	0	0	0	0	0	0	0	1	1	6	1	0	0	
ENSMUSG00000084150.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084151.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084152.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084153.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	
ENSMUSG00000084154.1	0	0	0	4	1	0	1	2	0	0	0	0	0	0	0	
ENSMUSG00000084155.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084157.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
ENSMUSG00000084158.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084159.1	286	122	215	241	315	165	411	172	387	273	410	245	328	170	255	
ENSMUSG00000084160.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084162.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084163.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084164.1	1	0	0	1	0	0	1	0	4	0	0	2	0	1	0	
ENSMUSG00000084166.1	26	13	30	14	13	8	14	14	28	9	17	19	7	11	21	
ENSMUSG00000084167.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084168.3	1	0	2	5	3	1	2	4	0	4	0	3	0	1	2	
ENSMUSG00000084169.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084170.1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084171.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084172.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084173.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084174.3	37254	25202	47821	623	9558	662	16905	8489	9367	330	1492	3397	2462	2397	1666	
ENSMUSG00000084175.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084177.1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	
ENSMUSG00000084178.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084179.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084180.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084181.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084182.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084183.1	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084184.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084185.1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	
ENSMUSG00000084186.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
ENSMUSG00000084188.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084189.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084190.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084191.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084192.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084193.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084196.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084198.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084199.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
ENSMUSG00000084200.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084201.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
ENSMUSG00000084202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084203.1	1	0	0	0	0	1	2	2	0	0	0	0	1	0	0	
ENSMUSG00000084204.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084205.1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	
ENSMUSG00000084206.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084207.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084208.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084209.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084210.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084211.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084212.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084213.1	0	0	3	0	0	0	2	1	0	0	2	2	0	0	4	
ENSMUSG00000084214.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084215.3	2	1	1	2	2	1	0	0	0	0	2	3	4	3	0	
ENSMUSG00000084216.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084217.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084218.1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	
ENSMUSG00000084219.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084220.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084221.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	
ENSMUSG00000084222.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084223.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
ENSMUSG00000084224.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
ENSMUSG00000084226.1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	
ENSMUSG00000084228.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084230.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000084231.1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	
ENSMUSG00000084234.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084235.2	4	9	11	6	6	4	8	17	10	7	0	9	1	1	6	
ENSMUSG00000084236.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084237.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084238.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
ENSMUSG00000084239.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084240.1	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	
ENSMUSG00000084241.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
ENSMUSG00000084243.1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	
ENSMUSG00000084244.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084245.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084246.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084247.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084248.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084249.1	2	1	3	2	2	0	0	0	2	2	0	3	0	0	1	
ENSMUSG00000084250.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084251.1	2	0	0	0	0	0	0	0	0	3	2	1	1	1	0	
ENSMUSG00000084252.1	0	1	1	0	2	0	0	4	1	0	0	0	0	0	0	
ENSMUSG00000084253.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084256.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084257.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084260.1	15	8	16	15	18	9	25	6	13	8	20	11	12	11	3	
ENSMUSG00000084261.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084262.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084264.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084265.1	0	0	1	7	0	0	1	2	0	0	0	0	0	0	0	
ENSMUSG00000084267.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084269.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084270.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084271.1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	
ENSMUSG00000084272.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084273.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084274.2	39	16	65	26	11	14	37	32	36	36	52	23	16	23	29	
ENSMUSG00000084275.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084276.1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	
ENSMUSG00000084277.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084278.1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	
ENSMUSG00000084279.1	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084280.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084281.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084282.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084283.1	0	0	2	0	0	0	0	2	1	1	0	0	0	0	1	
ENSMUSG00000084284.1	4	1	5	3	7	8	7	4	4	1	1	3	3	1	1	
ENSMUSG00000084285.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084286.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084287.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084288.1	1	0	1	2	0	1	2	3	0	2	1	0	5	2	0	
ENSMUSG00000084289.1	1	3	2	3	3	3	1	1	1	0	0	0	0	0	0	
ENSMUSG00000084291.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084292.1	2	0	1	0	1	2	1	0	0	1	2	0	0	1	0	
ENSMUSG00000084293.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084294.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084295.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084296.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
ENSMUSG00000084297.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
